source_id,zotero_key,citation,theme,study_type,population_or_material,comparator,outcomes,key_findings,limitations,locator,representation,appraisal_status
THOMAS_1993_4VZBDFRD,4VZBDFRD,"THOMAS S.H.L., CROWTHER A. Impedance cardiography during exercise in patients with coronary heart disease. 1993. European Heart Journal. 14(2). 150-159. doi:10.1093/eurheartj/14.2.150.",Валидизация сердечного выброса у взрослых,сравнительное/валидационное исследование,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,pdf,context_only
Fuller_1994_CANN65Q2,CANN65Q2,Fuller H.D. Evaluation of left ventricular function by impedance cardiography: A review. 1994. Progress in Cardiovascular Diseases. 36(4). 267-273. doi:10.1016/S0033-0620(05)80035-0.,Теория и методология ИКГ,критический обзор и повторный анализ,исследования оценки функции ЛЖ по ИКГ,C/Tz и временные интервалы против LVEF,теоретическая валидность и корреляция,Отношение C/Tz не получило устойчивой эмпирической и теоретической поддержки как показатель LVEF.,"Обзор относится к ранним формулам и сигналам, но его критика различения электрических и объемных суррогатов остается методологически значимой.","PDF pp. 1, 4",pdf,core_extracted
Jensen_1995_9W4HCNS3,9W4HCNS3,"Jensen L., Yakimets J., Teo K.K. A review of impedance cardiography. 1995. Heart & Lung. 24(3). 183-193. doi:10.1016/S0147-9563(05)80036-6.",Теория и методология ИКГ,методологический обзор/теоретическая работа,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,pdf,context_only
Meer_1996_BC68E8GK,BC68E8GK,"Meer N.J.M., Oomen M.W.N., Noordegraaf A., Pijpers R.J., Plaizier M.A.B.D., Vries P.M.J.M. Does impedance cardiography reliably estimate left ventricular ejection fraction? 1996. Journal of Clinical Monitoring. 12(1). 5-9. doi:10.1007/BF02025304.",Оценка систолической функции и ФВ,сравнение формул расчета LVEF,24 пациента,три уравнения ИКГ против референтной LVEF,корреляция расчетной и референтной LVEF,"Корреляция зависела от уравнения: r=0,29, 0,55 и 0,75 для новой формулы.",Малая выборка; высокая корреляция не доказывает клиническое согласие.,"PDF pp. 1, 4 (Table 2)",pdf,core_extracted
Spiering_1998_RB87XMRW,RB87XMRW,"Spiering W., van Es P.N., de Leeuw P.W. Comparison of impedance cardiography and dye dilution method for measuring cardiac output. 1998. Heart. 79(5). 437-441. doi:10.1136/hrt.79.5.437.",Валидизация сердечного выброса у взрослых,сравнительное исследование,"5 здоровых мужчин, 35 пар измерений",ИКГ против разведения красителя,CO и его изменения,"ИКГ завышала средний CO (10,2 против 7,4 л/мин); bias составлял −2,9 л/мин, пределы согласия −9,0…3,2 л/мин; изменения не воспроизводились.",Очень малая выборка и повторные измерения у одних участников.,PDF p. 1,pdf,core_extracted
Newman_1999_BDQQ667F,BDQQ667F,"Newman D.G., Callister R. The non-invasive assessment of stroke volume and cardiac output by impedance cardiography: a review. 1999. Aviation, Space, and Environmental Medicine. 70(8). 780-789.",Теория и методология ИКГ,методологический обзор/теоретическая работа,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,metadata,context_only
Critchley_1999_BX485JVA,BX485JVA,"Critchley L.A.H., Critchley J.A.J.H. A Meta-Analysis of Studies Using Bias and Precision Statistics to Compare Cardiac Output Measurement Techniques. 1999. Journal of Clinical Monitoring and Computing. 15(2). 85-91. doi:10.1023/A:1009982611386.",Сводная валидность методов,метаанализ сравнений методов сердечного выброса,25 опубликованных исследований разных технологий,испытуемые методы против референтных,"смещение, пределы согласия и процентная ошибка",Для биоимпеданса сводные пределы согласия соответствовали примерно ±37%; авторы предложили ориентир ±30% для приемлемости метода.,"Порог 30% зависит от точности обоих методов, диапазона CO, размера выборки и наличия пропорциональной ошибки.","PDF pp. 1, 4–5",pdf,core_extracted
Osypka_1999_SPZQA7R4,SPZQA7R4,"Osypka M.J., Bernstein D.P. Electrophysiologic Principles and Theory of Stroke Volume Determination by Thoracic Electrical Bioimpedance. 1999. AACN Clinical Issues: Advanced Practice in Acute and Critical Care. 10(3). 385-399. doi:10.1097/00044067-199908000-00008.",Теория и методология ИКГ,методологический обзор/теоретическая работа,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,pdf,context_only
Charloux_2000_Z7ZBPV7W,Z7ZBPV7W,"Charloux A., Lonsdorfer-Wolf E., Richard R., Lampert E., Oswald-Mammosser M., Mettauer B. et al. A new impedance cardiograph device for the non-invasive evaluation of cardiac output at rest and during exercise: comparison with the ""direct"" Fick method. 2000. European Journal of Applied Physiology. 82(4). 313-320. doi:10.1007/s004210000226.",Валидизация сердечного выброса у взрослых,сравнительное/валидационное исследование,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,pdf,context_only
Van_De_Water_2003_CAGGEQ25,CAGGEQ25,"Van De Water J.M., Miller T.W., Vogel R.L., Mount B.E., Dalton M.L. Impedance Cardiographya. 2003. Chest. 123(6). 2028-2033. doi:10.1378/chest.123.6.2028.",Валидизация сердечного выброса у взрослых,сравнительное/валидационное исследование,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,pdf,context_only
Parrott_2004_PEZ8IDN2,PEZ8IDN2,"Parrott C.W., Burnham K.M., Quale C., Lewis D.L. Comparison of Changes in Ejection Fraction to Changes in Impedance Cardiography Cardiac Index and Systolic Time Ratio. 2004. Congestive Heart Failure. 10(s2). 11-13. doi:10.1111/j.1527-5299.2004.03407.x.",Оценка систолической функции и ФВ,ретроспективное исследование изменений,13 пациентов с сердечной недостаточностью,изменения ИКГ против изменений LVEF,"CI, systolic time ratio и LVEF","Изменения CI и systolic time ratio коррелировали с изменениями LVEF (r=0,85 и −0,73).",Крайне малая ретроспективная выборка и длительные интервалы между измерениями.,Zotero metadata abstract,pdf,core_extracted
Schmidt_2005_HX3WCFV7,HX3WCFV7,"Schmidt C., Theilmeier G., Aken H.V., Korsmeier P., Wirtz S.P., Berendes E. et al. Comparison of electrical velocimetry and transoesophageal Doppler echocardiography for measuring stroke volume and cardiac output † †Declaration of interest. This study was supported by Osypka Medical GmbH, Berlin, Germany. 2005. British Journal of Anaesthesia. 95(5). 603-610. doi:10.1093/bja/aei224.",Валидизация сердечного выброса у взрослых,сравнительное/валидационное исследование,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,pdf,context_only
Scherhag_2005_ISW2MKUD,ISW2MKUD,"Scherhag A., Kaden J.J., Kentschke E., Sueselbeck T., Borggrefe M. Comparison of Impedance Cardiography and Thermodilution-Derived Measurements of Stroke Volume and Cardiac Output at Rest and During Exercise Testing. 2005. Cardiovascular Drugs and Therapy. 19(2). 141-147. doi:10.1007/s10557-005-1048-0.",Валидизация сердечного выброса у взрослых,сравнительное/валидационное исследование,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,pdf,context_only
Bernstein_2005_TU2SHRHJ,TU2SHRHJ,"Bernstein D.P., Lemmens H.J.M. Stroke volume equation for impedance cardiography. 2005. Medical & Biological Engineering & Computing. 43(4). 443-450. doi:10.1007/BF02344724.",Теория и методология ИКГ,сравнительное исследование расчетных уравнений,106 пациентов кардиохирургического профиля,термодилюция и несколько формул ИКГ,сердечный выброс,"Новое уравнение в этой выборке было ближе к термодилюции, чем прежние формулы, которые систематически занижали CO.",Одноцентровая клиническая выборка; сама термодилюция имеет ошибку и не является безусловным истинным значением.,"PDF pp. 1, 6",pdf,core_extracted
Cotter_2006_76EN9Q6A,76EN9Q6A,"Cotter G., Schachner A., Sasson L., Dekel H., Moshkovitz Y. Impedance cardiography revisited. 2006. Physiological Measurement. 27(9). 817-827. doi:10.1088/0967-3334/27/9/005.",Теория и методология ИКГ,методологический обзор/теоретическая работа,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,pdf,context_only
Sodolski_2007_2EAQ37CN,2EAQ37CN,"Sodolski T., Kutarski A. Impedance cardiography: A valuable method of evaluating haemodynamic parameters. 2007. Cardiology Journal. 14(2). 115-126.",Валидизация сердечного выброса у взрослых,сравнительное/валидационное исследование,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,metadata,context_only
Zoremba_2007_Q3TSQIRI,Q3TSQIRI,"Zoremba N., Bickenbach J., Krauss B., Rossaint R., Kuhlen R., Schälte G. Comparison of electrical velocimetry and thermodilution techniques for the measurement of cardiac output. 2007. Acta Anaesthesiologica Scandinavica. 51(10). 1314-1319. doi:10.1111/j.1399-6576.2007.01445.x.",Валидизация сердечного выброса у взрослых,проспективное сравнительное исследование,50 критически больных взрослых,электрическая велосиметрия против термодилюции PAC/PiCCO,CO и процентная ошибка,Процентная ошибка около 26% в этой выборке соответствовала предложенному критерию приемлемости.,"Результат относится к конкретному устройству, референтным методам и критически больной популяции.",Zotero metadata abstract,pdf,core_extracted
Heringlake_2007_G48PVZ2K,G48PVZ2K,"Heringlake M., Handke U., Hanke T., Eberhardt F., Schumacher J., Gehring H. et al. Lack of agreement between thermodilution and electrical velocimetry cardiac output measurements. 2007. Intensive Care Medicine. 33(12). 2168-2172. doi:10.1007/s00134-007-0828-3.",Валидизация сердечного выброса у взрослых,сравнительное/валидационное исследование,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,pdf,context_only
Norozi_2008_EDX22DP4,EDX22DP4,"Norozi K., Beck C., Osthaus W.A., Wille I., Wessel A., Bertram H. Electrical velocimetry for measuring cardiac output in children with congenital heart disease. 2008. British Journal of Anaesthesia. 100(1). 88-94. doi:10.1093/bja/aem320.",Педиатрическая и неонатальная валидизация,сравнительное исследование,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,pdf,context_only
Meki_2008_TFWNH3VK,TFWNH3VK,"Mekiš D., Kamenik M., Starc V., Jeretin S. Cardiac output measurements with electrical velocimetry in patients undergoing CABG surgery. 2008. European Journal of Anaesthesiology. 25(3). 237-242. doi:10.1017/S0265021507002669.",Валидизация сердечного выброса у взрослых,сравнительное/валидационное исследование,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,pdf,context_only
Tomaske_2008_PF2NDTSA,PF2NDTSA,"Tomaske M., Knirsch W., Kretschmar O., Woitzek K., Balmer C., Schmitz A. et al. Cardiac output measurement in children: comparison of Aesculon® cardiac output monitor and thermodilution. 2008. British Journal of Anaesthesia. 100(4). 517-520. doi:10.1093/bja/aen024.",Педиатрическая и неонатальная валидизация,сравнительное исследование,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,pdf,context_only
Thompson_2008_NFFHGJVW,NFFHGJVW,"Thompson B., Drazner M.H., Dries D.L., Yancy C.W. Systolic Time Ratio by Impedance Cardiography to Distinguish Preserved vs Impaired Left Ventricular Systolic Function in Heart Failure. 2008. Congestive Heart Failure. 14(5). 261-265. doi:10.1111/j.1751-7133.2008.00001.x.",Оценка систолической функции и ФВ,ретроспективное диагностическое исследование,52 пациента с хронической сердечной недостаточностью,systolic time ratio против LVEF,"корреляция, ROC-AUC, чувствительность и специфичность","Systolic time ratio коррелировал с LVEF (r=−0,54); AUC 0,86, чувствительность 93% и специфичность 85% при выбранных порогах.",Ретроспективный дизайн и внутренний выбор порога требуют внешней валидации.,Zotero metadata abstract,pdf,core_extracted
Raue_2009_ZBX2KXIA,ZBX2KXIA,"Raue W., Swierzy M., Koplin G., Schwenk W. Comparison of electrical velocimetry and transthoracic thermodilution technique for cardiac output assessment in critically ill patients. 2009. European Journal of Anaesthesiology. 26(12). 1067-1071. doi:10.1097/EJA.0b013e32832bfd94.",Валидизация сердечного выброса у взрослых,сравнительное/валидационное исследование,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,pdf,context_only
Petter_2010_2EW8XB4B,2EW8XB4B,"Petter H., Erik A., Björn E., Göran R.d. Measurement of cardiac output with non-invasive Aesculon® impedance versus thermodilution. 2010. Clinical Physiology and Functional Imaging. 31(1). 39-47. doi:10.1111/j.1475-097X.2010.00977.x.",Валидизация сердечного выброса у взрослых,сравнительное/валидационное исследование,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,pdf,context_only
Trinkmann_2011_WBJWHA2M,WBJWHA2M,"Trinkmann F., Berger M., Hoffmann U., Borggrefe M., Kaden J.J., Saur J. A comparative evaluation of electrical velocimetry and inert gas rebreathing for the non-invasive assessment of cardiac output. 2011. Clinical Research in Cardiology. 100(10). 935-943. doi:10.1007/s00392-011-0329-9.",Валидизация сердечного выброса у взрослых,сравнительное/валидационное исследование,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,pdf,context_only
Villacorta_Junior_2012_JIW45UH5,JIW45UH5,"Villacorta Junior H., Villacorta A.S., Amador F., Hadlich M., Albuquerque D.C.d., Azevedo C.F. Bioimpedância transtorácica comparada à ressonância magnética na avaliação do débito cardíaco. 2012. Arquivos Brasileiros de Cardiologia. 99(6). 1149-1155. doi:10.1590/S0066-782X2012005000104.",Валидизация сердечного выброса у взрослых,сравнительное/валидационное исследование,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,pdf,context_only
Grollmuss_2012_HQVE683T,HQVE683T,"Grollmuss O., Demontoux S., Capderou A., Serraf A., Belli E. Electrical velocimetry as a tool for measuring cardiac output in small infants after heart surgery. 2012. Intensive Care Medicine. 38(6). 1032-1039. doi:10.1007/s00134-012-2530-3.",Педиатрическая и неонатальная валидизация,сравнительное исследование,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,pdf,context_only
Noori_2012_KISTS8R8,KISTS8R8,"Noori S., Drabu B., Soleymani S., Seri I. Continuous non-invasive cardiac output measurements in the neonate by electrical velocimetry: a comparison with echocardiography. 2012. Archives of Disease in Childhood - Fetal and Neonatal Edition. 97(5). F340-F343. doi:10.1136/fetalneonatal-2011-301090.",Педиатрическая и неонатальная валидизация,проспективное сравнение,"20 новорожденных, 115 пар измерений",электрическая велосиметрия против эхокардиографии,CO и относительная прецизионность,"Среднее смещение было небольшим, однако широкая прецизионность ограничивает интерпретацию единичного абсолютного значения.",Малая неонатальная выборка; точность эхокардиографии также ограничена.,Zotero metadata abstract,pdf,core_extracted
Kaszuba_2013_4A4BBND3,4A4BBND3,"Kaszuba E., Scheel S., Odeberg H.k., Halling A. Comparing impedance cardiography and echocardiography in the assessment of reduced left ventricular systolic function. 2013. BMC Research Notes. 6(1). doi:10.1186/1756-0500-6-114.",Валидизация сердечного выброса у взрослых,одноцентровое сравнительное исследование,36 амбулаторных пациентов с сердечной недостаточностью,временные индексы ИКГ против эхокардиографии,"PEP, LVET, STR и LVEF","Временные показатели были связаны с LVEF, но авторы сочли доказательность недостаточной для клинического применения.",Малая выборка и отсутствие устойчивой связи со всеми предложенными детерминантами.,PDF p. 1,pdf,core_extracted
Cecconi_2014_QTSV7XNJ,QTSV7XNJ,"Cecconi M., De Backer D., Antonelli M., Beale R., Bakker J., Hofer C. et al. Consensus on circulatory shock and hemodynamic monitoring. Task force of the European Society of Intensive Care Medicine. 2014. Intensive Care Medicine. 40(12). 1795-1815. doi:10.1007/s00134-014-3525-z.",Клинический контекст мониторинга,международный консенсус экспертов,пациенты с циркуляторным шоком,инвазивные и менее инвазивные методы,выбор и эскалация мониторинга,Менее инвазивные устройства следует применять после валидации в соответствующем клиническом контексте; рутинное использование катетера легочной артерии не рекомендуется.,Консенсус не устанавливает универсальную взаимозаменяемость методов измерения сердечного выброса.,"PDF pp. 4, 9, 15",pdf,core_extracted
Blohm_2014_SS84XB5Z,SS84XB5Z,"Blohm M.E., Obrecht D., Hartwich J., Mueller G.C., Kersten J.F., Weil J. et al. Impedance cardiography (electrical velocimetry) and transthoracic echocardiography for non-invasive cardiac output monitoring in pediatric intensive care patients: a prospective single-center observational study. 2014. Critical Care. 18(6). doi:10.1186/s13054-014-0603-0.",Клинический контекст мониторинга,проспективное одноцентровое наблюдательное исследование,72 пациента педиатрической реанимации,электрическая велосиметрия против эхокардиографии,"VTI/CO, bias и MPE","В общей выборке MPE составляла 26,16%, но у недоношенных достигала 46,27%; согласие зависело от массы и вентиляции.",Неоднородная педиатрическая популяция и подгрупповые различия.,Zotero metadata abstract,pdf,core_extracted
Jozwiak_2015_NK8R3ZWI,NK8R3ZWI,"Jozwiak M., Monnet X., Teboul J.L. Monitoring. 2015. Current Opinion in Critical Care. 21(5). 395-401. doi:10.1097/MCC.0000000000000236.",Клинический контекст мониторинга,рекомендации/обзор,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,pdf,context_only
Boet_2016_4NACTMC5,4NACTMC5,"Boet A., Jourdain G., Demontoux S., De Luca D. Stroke volume and cardiac output evaluation by electrical cardiometry: accuracy and reference nomograms in hemodynamically stable preterm neonates. 2016. Journal of Perinatology. 36(9). 748-752. doi:10.1038/jp.2016.65.",Педиатрическая и неонатальная валидизация,сравнительное исследование,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,pdf,context_only
